Model,Architecture,Parameters (M),Publication Date
GeoKR,ResNet50,24,05/10/2021
ResNet50 IN,ResNet50,24,
ResNet18 IN,ResNet18,11,
WRN-50-2 IN,WRN-50-2,68.9,
MoCo,ResNet50,24,13/11/2019
SimCLR,ResNet50,24,13/02/2020
BYOL,ResNet50,24,13/06/2020
MoCov2,ResNet50,24,09/03/2020
CMC-NWPU-DOTA,ResNet50,24,14/04/2021
CMC-BigEarthNet,ResNet50,24,14/04/2021
CMC-ImageNet 200k,ResNet50,24,14/04/2021
GASSL MoCov2-TP,ResNet50,24,19/11/2020
GASSL MoCov2-TP+Geo,ResNet50,24,19/11/2020
GASSL MoCov2,ResNet50,24,19/11/2020
GASSL MoCoV2-Geo,ResNet50,24,19/11/2020
SeCo,ResNet50,24,30/03/2021
DINO-MM,ViT-S,22,11/04/2022
SatMAE ViT-L,ViT-L,307,17/07/2022
SatMAE ViT-B,ViT-B,86,17/07/2022
ViT-S IN,ViT-S,22,22/10/2020
ViT-B IN,ViT-B,86,22/10/2020
ViT-L IN,ViT-L,307,22/10/2020
RS-BYOL,ResNet50,24,07/09/2022
GeCo,ResNet50,24,29/08/2022
RingMo ViT,ViT-B,86,28/07/2022
RingMo Swin-B,Swin-B,88,28/07/2022
Swin-B IN,Swin-B,88,25/03/2021
RVSA ViTAE-B,ViTAE-B,89,21/09/2022
Swin-T IN,Swin-T,29,25/03/2021
ConvNext-B,ConvNext-B,89,10/01/2022
ViTAEv2-S IN,ViTAEv2-S,23.6,21/02/2022
RSP Resnet50,ResNet50,24,25/05/2022
RSP Swin-T,Swin-T,29,25/05/2022
RSP ViTAEv2-S,ViTAEv2-S,23.6,25/05/2022
MATTER,ResNet34,22,03/12/2021
CSPT ViT-L,ViT-L,307,10/11/2022
CSPT ViT-B,ViT-B,86,10/11/2022
BFM ViT-B,ViT-B,86,11/04/2023
BFM ViT-L,ViT-L,307,11/04/2023
BFM ViT-H,ViT-H,632,11/04/2023
BFM ViT-G,ViT-G,1843,11/04/2023
TOV ResNet50,ResNet50,24,28/04/2023
CMID ResNet50,ResNet50,24,19/04/2023
CMID Swin-B,Swin-B,88,19/04/2023
CACo,ResNet18,11,22/06/2023
GFM Swin-B,Swin-B,88,09/02/2023
Scale-MAE ViT-L,ViT-L,307,30/12/2022
Scale-MAE ViT-B,ViT-B,86,30/12/2022
DINO-MC ViT-S,ViT-S,22,12/03/2023
DINO-MC Swin-T,Swin-T,29,12/03/2023
DINO-MC ResNet50,ResNet50,24,12/03/2023
DINO-MC WRN-50-2,WRN-50-2,68.9,12/03/2023
CROMA ViT-B,ViT-B,86,01/11/2023
CROMA ViT-L,ViT-L,307,01/11/2023
Cross-Scale MAE ViT-B,ViT-B,86,29/01/2024
DeCUR ResNet50,ResNet50,24,11/09/2023
SkySense Swin-H,Swin-H,2060,15/12/2023
SatLas Swin-B,Swin-B,88,28/11/2022
SatLas ResNet50,ResNet50,24,28/11/2022
Prithvi ViT-B,ViT-B,86,28/10/2023
RingMo-Lite Swin-T ,Swin-T,29,16/09/2023
SpectralGPT,ViT-B,86,13/11/2023
SpectralGPT+,ViT-B,86,13/11/2023
SatMAE++ ViT-B,ViT-B,86,08/03/2024
SatMAE++ ViT-L,ViT-L,307,08/03/2024
msGFM Swin-B,Swin-B,88,01/04/2024
MTP ViT-B RVSA,ViT-B,86,20/03/2024
MTP ViT-L RVSA,ViT-L,307,20/03/2024
MTP InternImage-XL,InternImageXL,335,20/03/2024
DOFA ViT-B,ViT-B,86,22/03/2024
DOFA ViT-L,ViT-L,307,22/03/2024
MP-MAE ConvNext V2-Atto,ConvNextV2-Atto,3.7,
OmniSat,OmniSat-Conv,10,12/04/2024
Oreole-MR ViT-B,ViT-B,86,25/10/2024
Oreole-MR ViT-H,ViT-H,632,25/10/2024
Oreole-MR ViT-G,ViT-G,1843,25/10/2024
Oreole-MR ViT-e,ViT-e,3926,25/10/2024
Prithvi 2.0 ViT-L,ViT-L,307,03/12/2024
Prithvi 2.0 ViT-H,ViT-H,632,03/12/2024
AnySat,ViT-AnySat,125,18/12/2024
,,,
,,,
,,,
,,,
,,,
